fNo;INCDTNUNIQUE;INCDTNO;IYR;IMO;RAILROAD;RR2;INCDTNO2;RR3;INCDTNO3;GXID;YEAR;MONTH;DAY;TIMEHR;TIMEMIN;AMPM;TYPE;CARS;CARSDMG;CARSHZD;EVACUATE;DIVISION;STATION;MILEPOST;STATE;TEMP;VISIBLTY;WEATHER;TRNSPD;TYPSPD;TRNNBR;TRNDIR;TONS;TYPEQ;EQATT;TRKNAME;TRKCLAS;TRKDNSTY;TYPTRK;RRCAR1;CARNBR1;POSITON1;LOADED1;RRCAR2;CARNBR2;POSITON2;LOADED2;HEADEND1;MIDMAN1;MIDREM1;RMAN1;RREM1;HEADEND2;MIDMAN2;MIDREM2;RMAN2;RREM2;LOADF1;LOADP1;EMPTYF1;EMPTYP1;CABOOSE1;LOADF2;LOADP2;EMPTYF2;EMPTYP2;CABOOSE2;EQPDMG;TRKDMG;CAUSE;CAUSE2;CASKLDRR;CASINJRR;CASKLD;CASINJ;ACCAUSE;ACCTRK;ACCTRKCL;HIGHSPD;ACCDMG;STCNTY;TOTINJ;TOTKLD;ENGRS;FIREMEN;CONDUCTR;BRAKEMEN;ENGHR;ENGMIN;CDTRHR;CDTRMIN;JOINTCD;REGION;TYPRR;RRDIV;METHOD;NARRLEN;YEAR4;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;COUNTY;CNTYCD;ALCOHOL;DRUG;PASSTRN;SSB1;SSB2;RCL;Latitude;Longitud;SIGNAL;MOPERA;SUBDIV;PC1;PC2;PC3;PC4;PC5
1;PCJX00057F-1;PCJX00057F;24;2;PCJX;;;PCJX;20240228D;754867B;24;2;28;8;45;PM;7;0;0;0;117;;SAN BRUNO;10.5;6;55;4;1;60;R;515;1;96900;2;Y;MAIN TRACK #1;4;0;1;JPBX;900;1;Y;;;0;;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;25000;0;M399;M399;0;0;0;0;M399;1;4;60;25000;06C081;0;0;1;0;2;0;3;29;3;29;1;7;3;SYSTEM;;601;2024;0;0;0;0;0;0;SAN MATEO;81;;;Y;2125;3;0;37.637369;-122.413078;1;1;CALTRAIN;1.497937597;6.20883884;2.64898289;-0.819891486;-3.516257605
2;SJV748624D-2;SJV748624D;24;3;SJVR;;;SJVR;SJV748624D;;24;3;31;1;5;PM;1;11;1;0;0;;FRESNO;207.3;6;60;2;1;4;R;LS70;4;4669;1;Y;ALLAN LEAD 4720;X;;4;TILX;350659;17;Y;;;0;;1;0;0;0;0;0;0;0;0;0;35;0;0;0;0;5;0;0;0;0;1500;17000;T110;;0;0;0;0;T110;4;X;4;18500;06C019;0;0;1;0;1;0;4;35;4;35;1;7;Cl;;;225;2024;0;0;0;0;0;0;FRESNO;19;;;N;2170;2;0;36.72122;-119.76709;2;5;EXETER;-0.631971371;0.134539986;-0.668189033;0.09405969;0.239963217
3;031224DR-3;031224DR;24;3;CCT;BNSF;CA0324106;CCT;031224DR;;24;3;12;7;30;AM;1;0;0;0;0;;STOCKTON;1.6;6;45;2;1;0;;;2;0;;;MAIN;1;1 MILL;2;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9600;T001;;0;0;0;0;T001;2;1;8;28600;06C077;0;0;0;0;0;0;0;;0;;2;7;3;;;664;2024;0;0;0;0;0;0;SAN JOAQUIN;77;;;;;;;37.97544;-121.266508;2;5;CENTRAL VALLEY BRANC;-0.661799509;-1.943086963;-0.342778814;0.11229153;-0.677918856
4;CA0224128-4;CA0224128;24;2;BNSF;;;BNSF;CA0224128;;24;2;24;3;15;PM;11;0;0;0;0;;BAKERSFIELD;889;6;59;2;1;10;E;HBAR;4;4443;1;Y;402;1;0;2;TTGX;971193;29;Y;;;0;;3;0;0;0;0;0;0;0;0;0;24;0;48;0;0;0;0;0;0;0;73981;0;M502;;0;0;0;0;M502;2;1;10;73981;06C029;0;0;1;0;1;0;4;15;4;15;1;7;1;;;168;2024;0;0;0;0;0;0;KERN;29;;;N;4841;2;0;35.371418;-119.047687;2;5;BAKERSFIELD;-0.418213006;0.155230996;-0.258957204;-0.075513161;0.205244004
5;PCJX00062F-5;PCJX00062F;24;3;PCJX;;;PCJX;PCJX00062F;754986K;24;3;29;8;31;PM;7;0;0;0;0;;ATHERTON;27.6;6;50;4;3;65;R;133;1;96900;2;Y;MAIN TRACK #1;4;0;1;JPBX;918;1;Y;;;0;;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;61565;M303;;0;1;0;1;M303;1;4;65;61565;06C081;1;0;1;0;2;0;3;39;3;39;1;7;3;SYSTEM;;623;2024;0;0;0;0;0;1;SAN MATEO;81;;;Y;2125;3;0;37.464861;-122.198228;1;1;CALTRAIN;1.790271811;6.354324158;3.529095301;0.524988949;-3.400599181
6;0724GL004-6;0724GL004;24;7;UP;;;UP;0724GL004;;24;7;3;1;45;PM;1;0;0;0;0;;MISSOURI VALLEY;335.23;19;83;2;1;20;E;GSME;3;15719;1;Y;WEST LEG WYE;2;82.1;1;COER;354752;113;Y;;;0;;3;3;0;0;0;0;0;0;0;0;110;0;0;0;0;1;0;0;0;0;9774;414347;T108;;0;0;0;0;T108;1;2;20;424121;19C085;0;0;1;0;1;0;11;42;11;42;1;6;CL;;;459;2024;0;0;0;0;0;0;HARRISON;85;;;N;6760;2;0;41.559634;-96.001115;1;1;BLAIR SUB;-0.239156423;5.314736257;-0.895812621;0.021617604;1.059633027
7;1002127900-7;1002127900;24;6;CPKC;;;XSAB;INDUSTRY;;24;6;29;7;5;PM;1;0;0;0;0;;MONTPELIER;207;19;84;3;1;41;R;K71-;3;2435;1;Y;SSAB SPUR;1;20.05;4;CP;4008;1;N;;;0;;2;0;0;0;0;2;0;0;0;0;19;0;0;0;0;12;0;0;0;0;3807167;9742;H510;;0;1;0;1;H510;4;1;41;3816909;19C139;1;0;1;0;1;0;6;5;6;5;1;6;1;;;207;2024;0;1;0;0;0;0;MUSCATINE;139;;;N;1386;2;0;41.4617;-90.83;2;5;OTTUMWA;0.886190323;0.792517057;2.485110139;0.423963383;0.781196987
8;1002026695-8;1002026695;24;1;CPKC;;;CPKC;1002026695;;24;1;12;12;45;AM;12;0;0;0;0;;DUBUQUE;44.5;19;26;4;6;3;E;-261;2;6873;1;Y;DQ07;2;25.09;2;FURX;922779;1;Y;;;0;;3;0;0;0;0;0;0;0;0;0;23;0;30;0;0;0;0;0;0;0;345;0;H306;;0;0;0;0;H306;2;2;3;36300;19C061;0;0;1;0;1;0;5;45;5;45;1;6;1;;;176;2024;0;0;0;0;0;0;DUBUQUE;61;0;0;N;6074;2;0;42.516681;-90.660096;2;5;MARQUETTE;-0.613532696;-0.034313169;-0.58601237;-0.003777275;0.753923922
9;0724AS003-9;0724AS003;24;7;ALS;;;ALS;0724AS003;;24;7;6;11;0;PM;1;0;0;0;0;;EAST ST LOUIS;2.55;17;74;4;1;2;E;YR22;3;10632;7;Y;YARD 171;1;;2;TTGX;979145;33;Y;;;0;;2;0;0;0;0;0;0;0;0;0;101;0;6;0;0;12;0;0;0;0;76833;1000;H523;;0;0;0;0;H523;2;1;2;77833;17C163;0;0;2;0;0;0;7;30;0;;1;6;Cl;;;500;2024;0;0;0;0;0;0;ST CLAIR;163;0;0;N;7657;2;3;38.599062;-90.152938;2;5;ALTON & SOUTHERN GAT;-0.882533585;2.064564588;-1.527029139;0.578889475;-0.81396879
10;0724AS010-10;0724AS010;24;7;ALS;UP;0724MA034;ALS;0724AS010;;24;7;20;6;35;AM;1;0;0;0;0;;EAST ST LOUIS;0.06;17;64;1;1;0;;;1;0;;;TRACK 110;1;;2;;;0;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5457;H518;;0;0;0;0;H518;1;1;6;16010;17C163;0;0;0;0;0;0;0;;0;;2;6;Cl;;;263;2024;0;0;0;0;0;0;ST CLAIR;163;;;;12237;0;;38.594954;-90.156142;2;5;CHESTER SUB;-0.683353028;-1.953051132;-0.380528659;0.122383437;-0.658069657
