Accidentes,Cluster
PCJX00057F-1,0
SJV748624D-2,0
031224DR-3,0
CA0224128-4,0
PCJX00062F-5,0
0724GL004-6,4
1002127900-7,1
1002026695-8,0
0724AS003-9,0
0724AS010-10,0
1153445-11,0
0724MA034-12,0
KS0324110-13,0
2024FEB1D-14,0
215646-15,0
216357-16,0
240912002-17,0
158071-18,0
CH0624101-19,0
HL0624201-20,0
1002093201-21,0
HL0524112-22,0
1148654-23,0
0224GP022-24,0
0224GP040-25,0
0224GP040-26,0
0124GP015-27,0
0324HL015-28,0
0324HL012-29,0
SW0624204-30,0
180943-31,0
84282-32,0
183528-33,0
183562-34,0
183582-35,0
84061-36,0
180753-37,0
181191-38,0
82996-39,0
CUO975224D-40,0
CIN942624H-41,0
240072-42,0
156615-43,0
158845-44,0
158727-45,0
240330001-46,2
178334-47,0
178334-48,0
L12042402-49,0
L12082401-50,0
R12262401-51,0
220230-52,0
220231-53,0
220231-54,0
157183-55,0
157358-56,0
155328-57,0
216361-58,0
1143141-59,0
1143141-60,0
158788-61,0
1718058-62,0
1718058-63,0
HL1124113-64,0
221814-65,0
221700-66,0
HL0124102-67,0
222851-68,0
182993-69,0
220073-70,0
221919-71,2
216484-72,0
216112-73,0
216112-74,0
240103-75,0
240104-76,0
241201-77,0
222336-78,0
215383-79,0
215383-80,0
155613-81,0
155541-82,0
155541-83,0
177899-84,0
156015-85,0
L03182401-86,0
156596-87,0
156596-88,0
202405225-89,0
218985-90,0
157461-91,0
180312-92,0
SEPA060924-93,0
156968-94,0
219243-95,0
219672-96,0
146887-97,0
157112-98,0
157269-99,0
181189-100,0
20240708-101,0
L06172401-102,0
180895-103,0
180614-104,0
180505-105,0
240501-106,0
183458-107,0
RD0324117-108,0
240531001-109,0
HL0424112-110,4
HL0924202-111,2
RD1024119-112,0
240918004-113,0
240918005-114,0
ID240173-115,0
KS0724105-116,2
RD0724125-117,0
RD0724118-118,0
RD0624124-119,0
RD0624117-120,0
KS0624106-121,1
RD0124201-122,0
RD0524116-123,0
0624TO022-124,0
G06012024-125,0
1124PN018-126,0
1124PN018-127,0
220448-128,0
CCET0724-129,0
220368-130,0
156302-131,0
156302-132,0
217650-133,0
217532-134,0
CUO979524D-135,0
221499-136,0
221576-137,0
221687-138,0
222048-139,0
220974-140,0
220368-141,0
220448-142,0
2292024-143,0
155513-144,0
216871-145,0
155998-146,2
240022-147,0
156229-148,0
155981-149,0
CUO739724D-150,0
218983-151,0
222301-152,0
202501056-153,0
12032024-154,0
12032024-155,0
221918-156,0
81645-157,0
177884-158,0
81583-159,0
81591-160,0
215397-161,0
81649-162,0
BER693124D-163,2
81840-164,0
82647-165,0
240601-166,0
82863-167,0
82364-168,0
81864-169,0
82870-170,0
218130-171,0
SW0324111-172,1
SW0724112-173,0
SW0724102-174,0
KS0724201-175,0
AZE836624R-176,0
202407362-177,0
202407365-178,0
146921-179,0
182365-180,0
202501059-181,0
202501016-182,0
202501016-183,0
HL0724124-184,0
HL0724120-185,0
HL0724115-186,0
HL0724102-187,0
PR0724201-188,0
219205-189,0
181731-190,0
180697-191,0
202407373-192,0
202408375-193,0
0624HL016-194,1
PR0624201-195,0
0324GP039-196,0
0524GP007-197,0
0524GP007-198,0
202408389-199,2
202405251-200,0
202405275-201,0
202406284-202,0
202406305-203,0
146920-204,0
202411618-205,0
202501054-206,0
183424-207,0
PR0624109-208,0
0624GP028-209,0
0624GP028-210,0
0624GP028-211,0
0624GP035-212,0
0524GP019-213,0
0924GP008-214,0
0224GP012-215,0
0524GP023-216,0
0824GP003-217,0
0824GP008-218,0
202412694-219,0
202412697-220,0
183996-221,0
184400-222,0
183220-223,0
146919-224,0
146919-225,0
0924GP017-226,4
0924GP020-227,0
HL1124107-228,0
1024HL026-229,2
0924GP020-230,0
0224GP012-231,0
0924GL024-232,0
1124GP008-233,0
155480-234,0
215356-235,0
156217-236,0
156217-237,0
178974-238,0
2401DERAIL-239,0
156490-240,0
HL0224102-241,4
216302-242,0
156104-243,0
1146158-244,0
1152601-245,0
157066-246,0
CAG902324D-247,0
241212001-248,0
HL0524110-249,0
HL0524101-250,0
0424HL019-251,0
MNA846024A-252,0
0624HL023-253,0
181026-254,0
157315-255,0
HL0324101-256,0
RAI895324O-257,4
240614004-258,0
155508-259,0
219285-260,0
218134-261,0
218134-262,0
221291-263,0
2024NOV1D-264,0
158717-265,0
158717-266,0
222157-267,0
216216-268,0
217977-269,0
219704-270,0
220943-271,0
220597-272,0
220597-273,0
2024SEPT1X-274,0
158552-275,0
222159-276,0
CH1124103-277,0
0724PR001-278,4
0724PR001-279,0
0724PR005-280,0
0724PR005-281,0
0324HL025-282,0
0124GL046-283,0
0124GL053-284,0
0124GL025-285,0
0124GL025-286,0
0124GL001-287,0
7M2024-288,0
CA0324108-289,0
PCJX00047F-290,1
7M2024-291,0
CA0324109-292,0
CA0324113-293,0
0124GL002-294,0
0124GL002-295,0
1002026695-296,0
14800-297,0
14794-298,0
1718056-299,2
0524PR015-300,0
CH0624103-301,0
CH0624106-302,0
216898-303,0
217097-304,0
217097-305,0
217685-306,0
0224GL035-307,0
0424GL018-308,0
216824-309,0
1702117-310,0
156607-311,0
156607-312,0
156645-313,0
0224GL038-314,2
CA0324106-315,0
CA0124120-316,0
177969-317,0
177820-318,0
CA0224117-319,0
178356-320,0
CA0224118-321,0
217438-322,0
217438-323,0
156411-324,0
156493-325,0
1149731-326,0
1150877-327,0
CH0524101-328,0
CH0524104-329,0
0624GC004-330,0
0624GC010-331,0
0624GC010-332,0
0624GC017-333,0
HL0324109-334,4
0124HL036-335,0
0224HL010-336,0
MT0924103-337,0
PR0924103-338,4
MT0724107-339,0
178843-340,0
156278-341,0
156278-342,0
216257-343,0
215969-344,0
156416-345,0
156416-346,0
156770-347,0
156770-348,0
156017-349,0
0724GL011-350,0
HL1024115-351,0
0724GP002-352,0
0724GP002-353,0
0924GP008-354,0
0924GP030-355,0
1024GP017-356,0
1124GP005-357,0
1124GP005-358,0
219571-359,0
219495-360,0
180793-361,0
0724GP005-362,2
0724GP031-363,0
HL1124106-364,0
0724GP002-365,0
HL0924119-366,0
HL0924119-367,0
181973-368,0
182493-369,0
157920-370,0
157939-371,0
219995-372,0
220252-373,0
220252-374,0
220973-375,0
155575-376,0
216110-377,2
156014-378,0
155942-379,0
156508-380,0
156085-381,0
155741-382,0
219131-383,0
156017-384,0
156372-385,0
157167-386,0
156637-387,0
156705-388,0
156705-389,0
156705-390,0
156783-391,0
156783-392,0
156783-393,0
156787-394,0
MT0224112-395,0
MT0424101-396,0
MT0224107-397,0
MT0124114-398,0
MT0124114-399,0
MT0224109-400,2
HL0224103-401,0
0424HL037-402,2
0424MA015-403,0
0424MA026-404,0
24011I-405,0
HL0424105-406,0
HL0424105-407,0
CH0424107-408,0
UP240215-409,0
D241124-410,0
HES020024O-411,0
1716260-412,0
158318-413,0
1024ME034-414,0
241003003-415,0
240912002-416,0
0624GC017-417,0
240526001-418,0
240526001-419,0
0524GC001-420,0
0524GC001-421,0
24101301-422,2
1024GC009-423,0
1024MA038-424,0
1024MA038-425,0
24091301-426,0
1702199-427,0
NOPB0084F-428,0
NOGC0039F-429,0
0524GC005-430,0
0524GC031-431,0
0524GC031-432,0
1024GC019-433,2
1717509-434,0
1224GC009-435,0
241104001-436,0
241104001-437,0
1024GC010-438,0
CH0524108-439,0
0424AS011-440,0
0424AS011-441,0
0524AS006-442,0
5192024-443,0
0624PR015-444,0
1145031-445,0
240612002-446,0
180150-447,0
14758-448,0
216113-449,0
155957-450,0
155708-451,0
CA1124117-452,0
CA0724109-453,0
0624NC011-454,0
180608-455,0
GCR664324L-456,0
PCJX00041F-457,0
0124NC017-458,0
0124NC030-459,0
0124LA009-460,0
SJV024824R-461,0
CA0324119-462,0
CA0624126-463,0
NW0724119-464,0
157363-465,0
2024010-466,0
2024167-467,0
180488-468,0
CA0524112-469,0
0524LA008-470,0
0124RM018-471,0
14781-472,0
9419002215-473,0
180531-474,0
31924-475,0
0824HO029-476,0
0824GC011-477,0
0824GC011-478,0
0824GC016-479,0
157189-480,0
240123004-481,0
240123004-482,0
837406-483,0
0824GC019-484,0
0824GC021-485,0
1701816-486,4
1716041-487,0
1716041-488,0
KYL798324D-489,0
RD0724103-490,0
0724GC001-491,0
0724GC001-492,0
0724GC012-493,0
NW0224101-494,0
215297-495,0
0524NC016-496,0
CA0524110-497,0
PHL00120F-498,4
177960-499,0
182412-500,0
182412-501,0
KS1224109-502,0
1151211-503,0
1151290-504,2
1152202-505,2
1149731-506,0
1224HL016-507,0
1224HL016-508,0
1024HL022-509,0
215778-510,0
PHL00119F-511,0
0624LA027-512,0
0624LA027-513,0
0624NC002-514,0
240123007-515,0
9419002188-516,0
9419002216-517,0
9419002246-518,0
CH0724116-519,0
CH0724113-520,0
CH1124104-521,0
1224HL005-522,0
0724GC012-523,0
220165-524,0
220165-525,0
220151-526,0
220165-527,0
1124GP008-528,0
HL0224108-529,1
0124GP034-530,0
0124GP034-531,0
0124GP037-532,0
0124GL041-533,2
220181-534,0
146899-535,0
146909-536,0
202409440-537,0
202409445-538,0
216021-539,0
82204-540,0
180334-541,0
156061-542,0
156020-543,0
155852-544,0
155852-545,0
24111203-546,0
1124PN018-547,0
1124PN006-548,0
COR998124R-549,0
RCP967824O-550,0
RCP008624D-551,0
216361-552,0
158624-553,0
158624-554,0
158624-555,0
158369-556,0
157750-557,0
157750-558,0
HL0824114-559,0
HL0824114-560,0
220237-561,0
218862-562,0
217806-563,0
1714325-564,0
156741-565,0
HL0624110-566,0
219542-567,0
219119-568,0
219119-569,0
157059-570,0
HL0924107-571,0
220323-572,0
158702-573,0
221191-574,0
221191-575,0
156049-576,0
156592-577,0
0624MA051-578,0
216296-579,0
216649-580,0
HL0224109-581,0
217497-582,0
156255-583,0
156425-584,0
1153150-585,0
216684-586,0
HL0524115-587,0
HL0524115-588,0
218862-589,0
218313-590,0
158369-591,0
TC0424106-592,0
TC0524203-593,0
RCP967824O-594,0
240503002-595,0
TC0524106-596,0
RCP756924L-597,0
RCP742524D-598,0
240123003-599,0
RCP706024D-600,0
2024020202-601,0
156739-602,0
181316-603,0
2024110204-604,0
219582-605,0
216252-606,2
217353-607,0
217353-608,0
217353-609,0
2024020202-610,0
180148-611,0
219377-612,0
219377-613,0
218785-614,0
218086-615,0
217798-616,0
217798-617,0
218524-618,0
221985-619,0
240725-620,0
221214-621,0
221214-622,0
221391-623,0
158082-624,0
220487-625,0
221956-626,0
180926-627,0
PWR780924R-628,0
SEPA012024-629,0
180941-630,0
L08232402-631,0
220230-632,0
SEPA072124-633,0
SEPA011724-634,0
NBER050224-635,0
R11302401-636,0
158631-637,0
182127-638,0
158578-639,0
178779-640,0
180505-641,0
158406-642,0
222369-643,0
221867-644,0
SEPA120524-645,0
158467-646,0
222261-647,0
183177-648,0
222294-649,0
158574-650,0
158406-651,0
158216-652,0
R11182402-653,0
SEPA112424-654,0
URR0003F-655,0
222261-656,0
183177-657,0
155821-658,0
155668-659,0
155837-660,0
155915-661,0
155915-662,0
155915-663,1
155933-664,0
155933-665,0
216337-666,0
156437-667,0
156437-668,0
BPR767724A-669,0
L01172402-670,0
240101-671,0
SEPA101724-672,0
221161-673,0
L04022401-674,0
156271-675,0
146916-676,0
R09032401-677,0
158072-678,0
0724PN031-679,0
0724PN040-680,0
0924PN012-681,0
0324PN002-682,0
178679-683,0
0324PN028-684,0
